Date,Volume,Close,High,Low,Open
2017-03-17,43700570,139.99,141.0,139.89,141.0
2017-03-20,21258100,141.46,141.5,140.23,140.4
2017-03-21,39461130,139.84,142.8,139.73,142.11
2017-03-22,25804820,141.42,141.6,139.76,139.845
2017-03-23,20299310,140.92,141.5844,140.61,141.26
2017-03-24,22355140,140.64,141.74,140.35,141.5
2017-03-27,23531670,140.88,141.22,138.62,139.39
2017-03-28,33348400,143.8,144.04,140.62,140.91
2017-03-29,29174040,144.12,144.49,143.19,143.68
2017-03-30,21189000,143.93,144.5,143.5,144.19
2017-03-31,19576480,143.66,144.27,143.01,143.72
2017-04-03,19970040,143.7,144.12,143.05,143.71
2017-04-04,19865300,144.77,144.89,143.17,143.25
2017-04-05,27649500,144.02,145.46,143.81,144.22
2017-04-06,21131040,143.66,144.52,143.45,144.29
2017-04-07,16658660,143.34,144.18,143.27,143.73
2017-04-10,18904680,143.17,143.8792,142.9,143.6
2017-04-11,30341520,141.63,143.35,140.06,142.94
2017-04-12,20320420,141.8,142.15,141.01,141.6
2017-04-13,17775510,141.05,142.38,141.05,141.91
2017-04-17,16529130,141.83,141.88,140.87,141.48
2017-04-18,14676420,141.2,142.04,141.11,141.41
2017-04-19,17302160,140.68,142.0,140.45,141.88
2017-04-20,23294040,142.44,142.92,141.16,141.22
2017-04-21,17290900,142.27,142.68,141.85,142.44
2017-04-24,17117710,143.64,143.95,143.18,143.5
2017-04-25,18325720,144.53,144.9,143.87,143.91
2017-04-26,19998050,143.68,144.6,143.3762,144.47
2017-04-27,14198660,143.79,144.16,143.31,143.923
2017-04-28,20783460,143.65,144.3,143.27,144.09
2017-05-01,33498270,146.58,147.2,144.96,145.1
2017-05-02,44182930,147.51,148.09,146.84,147.54
2017-05-03,45579740,147.06,147.49,144.27,145.59
2017-05-04,23345970,146.53,147.14,145.81,146.52
2017-05-05,27254850,148.96,148.98,146.76,146.76
2017-05-08,48670440,153.01,153.7,149.03,149.03
2017-05-09,38907940,153.99,154.88,153.45,153.87
2017-05-10,25779060,153.26,153.94,152.11,153.63
2017-05-11,27236290,153.95,154.07,152.31,152.45
2017-05-12,32493770,156.1,156.42,154.67,154.7
2017-05-15,25912270,155.7,156.65,155.05,156.01
2017-05-16,19994270,155.47,156.06,154.72,155.94
2017-05-17,50674280,150.25,154.57,149.71,153.6
2017-05-18,33520150,152.54,153.34,151.13,151.27
2017-05-19,26892850,153.06,153.98,152.63,153.38
2017-05-22,22930630,153.99,154.58,152.91,154.0
2017-05-23,19906170,153.8,154.9,153.31,154.9
2017-05-24,19201820,153.34,154.17,152.67,153.84
2017-05-25,19217810,153.87,154.35,153.03,153.73
2017-05-26,21895020,153.61,154.24,153.31,154.0
2017-05-30,20118620,153.67,154.43,153.33,153.42
2017-05-31,24452750,152.76,154.17,152.38,153.97
2017-06-01,16383610,153.18,153.33,152.22,153.17
2017-06-02,27715140,155.45,155.45,152.89,153.58
